18:07:30:414[restartedMain] INFO  n.b.p.PersonalAppApplication - Starting PersonalAppApplication using Java 17.0.9 with PID 16596 (/Users/bibekamatya/personalApp/personalApp/target/classes started by bibekamatya in /Users/bibekamatya/personalApp/personalApp)
18:07:31:251[cluster-ClusterId{value='67e72bb3b671941691728712', description='Cluster0'}-srv-cluster0.ynlxc8v.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-74mjvaa-shard-00-00.ynlxc8v.mongodb.net:27017 to client view of cluster
18:07:31:252[cluster-ClusterId{value='67e72bb3b671941691728712', description='Cluster0'}-srv-cluster0.ynlxc8v.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-74mjvaa-shard-00-02.ynlxc8v.mongodb.net:27017 to client view of cluster
18:07:31:295[restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
18:07:31:352[restartedMain] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 5. Remaining time: 29996 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=ac-74mjvaa-shard-00-01.ynlxc8v.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-74mjvaa-shard-00-02.ynlxc8v.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=ac-74mjvaa-shard-00-00.ynlxc8v.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
18:07:31:788[cluster-ClusterId{value='67e72bb3b671941691728712', description='Cluster0'}-ac-74mjvaa-shard-00-02.ynlxc8v.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-74mjvaa-shard-00-02.ynlxc8v.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=261447375, minRoundTripTimeNanos=0, setName='atlas-jpaobk-shard-0', canonicalAddress=ac-74mjvaa-shard-00-02.ynlxc8v.mongodb.net:27017, hosts=[ac-74mjvaa-shard-00-00.ynlxc8v.mongodb.net:27017, ac-74mjvaa-shard-00-01.ynlxc8v.mongodb.net:27017, ac-74mjvaa-shard-00-02.ynlxc8v.mongodb.net:27017], passives=[], arbiters=[], primary='ac-74mjvaa-shard-00-01.ynlxc8v.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='usw2-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='US_WEST_2'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=13, topologyVersion=TopologyVersion{processId=67db29adabb11af00571327d, counter=3}, lastWriteDate=Fri Mar 28 18:07:31 CDT 2025, lastUpdateTimeNanos=215875224250166}
18:07:31:788[cluster-ClusterId{value='67e72bb3b671941691728712', description='Cluster0'}-ac-74mjvaa-shard-00-01.ynlxc8v.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-74mjvaa-shard-00-01.ynlxc8v.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=261447375, minRoundTripTimeNanos=0, setName='atlas-jpaobk-shard-0', canonicalAddress=ac-74mjvaa-shard-00-01.ynlxc8v.mongodb.net:27017, hosts=[ac-74mjvaa-shard-00-00.ynlxc8v.mongodb.net:27017, ac-74mjvaa-shard-00-01.ynlxc8v.mongodb.net:27017, ac-74mjvaa-shard-00-02.ynlxc8v.mongodb.net:27017], passives=[], arbiters=[], primary='ac-74mjvaa-shard-00-01.ynlxc8v.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='usw2-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='US_WEST_2'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000023, setVersion=13, topologyVersion=TopologyVersion{processId=67d348dbc1b2cd7ac0cb5fe9, counter=6}, lastWriteDate=Fri Mar 28 18:07:31 CDT 2025, lastUpdateTimeNanos=215875224250125}
18:07:31:788[cluster-ClusterId{value='67e72bb3b671941691728712', description='Cluster0'}-ac-74mjvaa-shard-00-00.ynlxc8v.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-74mjvaa-shard-00-00.ynlxc8v.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=244338500, minRoundTripTimeNanos=0, setName='atlas-jpaobk-shard-0', canonicalAddress=ac-74mjvaa-shard-00-00.ynlxc8v.mongodb.net:27017, hosts=[ac-74mjvaa-shard-00-00.ynlxc8v.mongodb.net:27017, ac-74mjvaa-shard-00-01.ynlxc8v.mongodb.net:27017, ac-74mjvaa-shard-00-02.ynlxc8v.mongodb.net:27017], passives=[], arbiters=[], primary='ac-74mjvaa-shard-00-01.ynlxc8v.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='usw2-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='US_WEST_2'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=13, topologyVersion=TopologyVersion{processId=67d884bace6584a1b2d59f27, counter=4}, lastWriteDate=Fri Mar 28 18:07:31 CDT 2025, lastUpdateTimeNanos=215875224250125}
18:07:31:790[cluster-ClusterId{value='67e72bb3b671941691728712', description='Cluster0'}-ac-74mjvaa-shard-00-01.ynlxc8v.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-74mjvaa-shard-00-01.ynlxc8v.mongodb.net:27017 with max election id 7fffffff0000000000000023 and max set version 13
18:07:32:474[restartedMain] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider
18:07:32:474[restartedMain] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used by Spring Security for automatically configuring username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider. If the current configuration is intentional, to turn off this warning, increase the logging level of 'org.springframework.security.config.annotation.authentication.configuration.InitializeUserDetailsBeanManagerConfigurer' to ERROR
18:07:32:678[restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
18:07:32:685[restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/dev'
18:07:32:691[restartedMain] INFO  n.b.p.PersonalAppApplication - Started PersonalAppApplication in 2.452 seconds (process running for 2.85)
